"My Reward Points","मेरा पुरस्कार अंक"
"Checkout now and earn <b>%1</b> for this order.","अब चेकआउट करें और इस आदेश के लिए <b>%1 कमाएं</b> ।"
"Applies only to registered customers, may vary when logged in.","केवल पंजीकृत ग्राहकों पर लागू होता है, लॉग इन होने पर भिन्न हो सकता है।"
"Possible discount %1 %2","संभावित छूट %1 %2"
"Earn %1 %2","%1 %2 कमाएं"
Grid,ग्रिड
List,सूची
All,सब
"Referral %1","रेफ़रल %1"
"Something went wrong while saving your subscription.","आपकी सदस्यता सहेजते समय कुछ गड़बड़ हुई।"
"We removed your subscription on expiring points notification.","हमने समाप्ति बिंदु अधिसूचना पर आपकी सदस्यता हटा दी है।"
"Cannot apply points.","अंक लागू नहीं कर सकते हैं।"
"You've earned %1 for Facebook Like!","आपने फेसबुक के लिए %1 अर्जित किया है!"
"You've earned %1 for Facebook Share!","आपने फेसबुक शेयर के लिए %1 अर्जित किया है!"
"Facebook Like Points has been canceled","फेसबुक की तरह अंक रद्द कर दिया गया है"
"You've earned %1 for Google+!","आपने Google+ के लिए %1 अर्जित किया है!"
"G+1 Points has been canceled","जी + 1 अंक रद्द कर दिए गए हैं"
"You've earned %1 for Pin!","आपने पिन के लिए %1 अर्जित किया है!"
"Invalid form key. Try again","अमान्य फॉर्म कुंजी पुनः प्रयास करें"
"Customer with email %1 has been already invited to our store","ईमेल %1 वाला ग्राहक पहले से ही हमारे स्टोर में आमंत्रित किया गया है"
"Your invitations were sent. Thanks!","आपके निमंत्रण भेजे गए थे। धन्यवाद!"
"You've earned %1 for Tweet!","आपने ट्वीट के लिए %1 अर्जित किया है!"
"You received %1 for signing up","साइन अप करने के लिए आपको %1 प्राप्त हुआ"
"You received %1 for sending this product","इस उत्पाद को भेजने के लिए आपको %1 प्राप्त हुआ"
"You received %1 for sign up for newsletter","न्यूजलेटर के लिए साइन अप के लिए आपको %1 प्राप्त हुआ"
"You received %1 for sign up for push notifications","पुश अधिसूचनाओं के लिए साइन अप के लिए आपको %1 प्राप्त हुआ"
"You will receive %1 after approving of this tag","इस टैग को मंजूरी मिलने के बाद आपको %1 प्राप्त होगा"
"You will receive %1 after approving of this review","इस समीक्षा को मंजूरी मिलने के बाद आपको %1 प्राप्त होगा"
"You received %1 for sign up of referral customer.","आपको रेफ़रल ग्राहक के साइन अप के लिए %1 प्राप्त हुआ।"
"You received %1 for order of referral customer.","रेफ़रल ग्राहक के आदेश के लिए आपको %1 प्राप्त हुआ।"
"Happy birthday! You received %1.","जन्मदिन की शुभकामनाएं! आपको %1 प्राप्त हुआ।"
"You received %1 for joining the affiliate program.","संबद्ध प्रोग्राम में शामिल होने के लिए आपको %1 प्राप्त हुआ।"
"%1 was applied.","%1 लागू किया गया था।"
"Minimum number is %1.","न्यूनतम संख्या %1 है।"
"Maximum number is %1.","अधिकतम संख्या %1 है।"
"%1 was canceled.","%1 रद्द कर दिया गया था।"
"Cannot apply %1.","%1 लागू नहीं कर सकता"
"You can use the following variables:","आप निम्न चर का उपयोग कर सकते हैं:"
Pattern,पैटर्न
"Attribute Value","मान बताइए"
Default,चूक
Integer,पूर्णांक
Price,मूल्य
"Strip Tags","पट्टी टैग"
"Primary Attributes","प्राथमिक गुण"
"Stock Attributes","स्टॉक गुण"
"Prices & Taxes","कीमतें और कर"
Images,इमेजिस
"Custom Attributes","कस्टम विशेषताएं"
Mapping,मानचित्रण
Category,वर्ग
"Amasty Meta Tags","अमीर मेटा टैग"
"Others Attributes","अन्य गुण"
Flexible,लचीला
Fixed,स्थिर
"Customer signs up in store","ग्राहक स्टोर में साइन अप करते हैं"
"Customer places order","ग्राहक स्थान आदेश"
"Customer refer a friend","ग्राहक एक दोस्त का संदर्भ लें"
"Customer adds tag to a product","ग्राहक किसी उत्पाद को टैग जोड़ता है"
"Customer writes a product review","ग्राहक एक उत्पाद समीक्षा लिखता है"
"Customer has a birthday","ग्राहक का जन्मदिन है"
"Customer is inactive for long time","ग्राहक लंबे समय तक निष्क्रिय है"
"Newsletter sign up","न्यूज़लेटर साइन अप"
"Facebook Share","फेसबुक साझा"
"Facebook Like","फेसबुक की तरह"
"Twitter Tweet","ट्विटर ट्वीट"
"Google+ Like","Google+ की तरह"
"Pinterest Pin","Pinterest पिन"
"Customer joins the affiliate program","ग्राहक संबद्ध कार्यक्रम में शामिल हो जाता है"
"Push Notifications sign up","पुश अधिसूचनाएं साइन अप करें"
"Referred customer signs up in store","संदर्भित ग्राहक स्टोर में साइन अप करते हैं"
"Order from referred customer","निर्दिष्ट ग्राहक से आदेश"
"Points to Currency","मुद्रा के लिए अंक"
"Currency to Points","अंक के लिए मुद्रा"
"Customer Account > My Reward Points","ग्राहक खाता&gt; मेरा पुरस्कार अंक"
"Customer Account > My Referrals","ग्राहक खाता&gt; मेरा रेफ़रल"
"Cart Page","कार्ट पेज"
"Message Sent","मैसेज बेजा गया"
"Signed Up","साइनअप किया"
"Made Order","मेड ऑर्डर"
"Visited by Referral Link","रेफ़रल लिंक द्वारा देखा गया"
"Subtotal + Tax","Subtotal + कर"
"Subtotal + Tax + Shipping","उप-योग + कर + शिपिंग"
"Product Rule","प्रॉडक्ट नियम"
"Cart Rule","कार्ट नियम"
"Behavior Rule","व्यवहार नियम"
"Transaction #%1 is expired","लेनदेन #%1 की समयसीमा समाप्त हो गई है"
"Update the Product","उत्पाद अद्यतन करें"
"Is Rewards Points used","क्या पुरस्कार अंक इस्तेमाल किया जाता है"
"Coupon Used","कूपन प्रयुक्त"
"Coupon Code","कूपन कोड"
No,नहीं
Yes,हाँ
"Conditions Combination","शर्तें संयोजन"
"Product attribute combination","उत्पाद विशेषता संयोजन"
"Products subselection","उत्पाद उपखंड"
"Conditions combination","शर्तें संयोजन"
"Cart Attribute","कार्ट विशेषता"
Customer,ग्राहक
"Last 7-days Clicks","पिछले 7 दिनों के क्लिक"
"Last 7-days Orders","पिछले 7 दिनों के आदेश"
"Last 7-days Revenue","पिछले 7 दिनों के राजस्व"
"Is Referee","रेफरी है"
"Is Referral","रेफरल है"
Email,ईमेल
Group,समूह
"Lifetime Sales","आजीवन बिक्री"
"Lifetime Spent Points","आजीवन खर्च अंक"
"Number of Orders","आदेशों की संख्या"
"Is subscriber of newsletter","न्यूज़लेटर का ग्राहक है"
"Number of reviews","समीक्षा की संख्या"
"Number of referred friends signups","निर्दिष्ट मित्रों के साइनअप की संख्या"
"Number of referred friends orders","निर्दिष्ट मित्रों के आदेश की संख्या"
"Sum of referred friends orders","निर्दिष्ट मित्रों के आदेश का योग"
"Number of referrals who ordered at least once","कम से कम एक बार आदेश देने वाले रेफ़रल की संख्या"
"Not registered","पंजीकृत नहीं"
"Attribute Set","विशेषता सेट करें"
Quantity,मात्रा
"Product Type","उत्पाद प्रकार"
"Base Image","आधार छवि"
Thumbnail,थंबनेल
"Small Image","छोटी छवि"
"Base Image Size (bytes)","आधार छवि का आकार (बाइट्स)"
"Thumbnail Size (bytes)","थंबनेल आकार (बाइट्स)"
"Small Image Size (bytes)","छोटे छवि आकार (बाइट्स)"
"PHP Condition","PHP हालत"
"Base Price","आधार मूल्य"
"Final Price","अंतिम कीमत"
"Special Price","विशेष मूल्य"
"Open Chooser","खुला चयनकर्ता"
"Referred: Group","संदर्भित: समूह"
"Referred: Lifetime Sales","संदर्भित: लाइफटाइम बिक्री"
"Referred: Number of Orders","संदर्भित: ऑर्डर की संख्या"
"Referred: Is subscriber of newsletter","संदर्भित: न्यूज़लेटर का ग्राहक है"
"Referred: Number of reviews","संदर्भित: समीक्षाओं की संख्या"
"Please specify a website.","कृपया एक वेबसाइट निर्दिष्ट करें।"
"Please specify a customer email.","कृपया एक ग्राहक ईमेल निर्दिष्ट करें।"
"We found an invalid value in a website column.","हमें वेबसाइट कॉलम में एक अवैध मान मिला।"
"Please enter a valid email.","कृपया अपना मान्य ईमेल लिखें।"
"Please make sure attribute ""%1"" is not empty.","कृपया सुनिश्चित करें कि विशेषता &quot;%1&quot; खाली नहीं है।"
"We can't find a customer who matches this email and website code.","हम ऐसे ग्राहक को नहीं ढूंढ सकते जो इस ईमेल और वेबसाइट कोड से मेल खाता हो।"
"-- Please Select --","-- कृपया चुने --"
"Discount Used","उपयोग की गई छूट"
"Custom Product Attributes","कस्टम उत्पाद विशेषताओं"
"- Disable these emails -","- इन ईमेल को अक्षम करें -"
"Give X points to customer","ग्राहक को एक्स अंक दें"
"Give X points for every spent Y","प्रत्येक व्यतीत वाई के लिए एक्स अंक दें"
"Give X points for every Z quantity","प्रत्येक जेड मात्रा के लिए एक्स अंक दें"
"For every Y, give X points","प्रत्येक वाई के लिए, एक्स अंक दें"
Pending,अपूर्ण
Approved,"मंजूर की"
Discarded,"बाहर किया हुआ"
"You do not have permissions to create transactions. Please contact your site administrator.","आपके पास लेनदेन बनाने की अनुमति नहीं है। कृपया अपने साइट व्यवस्थापक से संपर्क करें।"
"%1 has been added.","%1 जोड़ा गया है।"
"%1 has been deducted.","%1 काटा गया है।"
"You earned %1 and spent %2 for this order.","आपने इस आदेश के लिए %1 अर्जित किया और %2 खर्च किया।"
"You spent %1 for this order.","आपने इस आदेश के लिए %1 खर्च किया है।"
"You earned %1 for this order.","आपने इस आदेश के लिए %1 अर्जित किया है।"
"Earned points will be enrolled to your account after we finish processing your order.","आपके आदेश को संसाधित करने के बाद अर्जित अंक आपके खाते में दाखिला लिया जाएगा।"
"Rewards error occurred on the server. Please try to place the order again.","सर्वर पर पुरस्कार त्रुटि आई। कृपया ऑर्डर देने का प्रयास करें।"
"Earn at least %1 %2","कम से कम %1 %2 कमाएं"
"Reward Points","इनाम के अंक"
Edit,"संपादित करें"
Back,वापस
Delete,हटाना
"Are you sure you want to do this?","क्या आप वास्तव में इसे करना चाहते हैं?"
Reset,रीसेट
"Save and Continue Edit","सहेजें और संपादित करें जारी रखें"
Save,बचाना
"Delete the record with ID ""${ $.$data.transaction_id }""","आईडी &quot;$ {$। $ Data.transaction_id} के साथ रिकॉर्ड हटाएं&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","क्या आप वाकई आईडी &quot;$ {$। $ Data.transaction_id}&quot; के साथ रिकॉर्ड को हटाना नहीं चाहते हैं?"
"Points Summary","अंक सारांश"
"To unsubscribe from points expiring notification click %1","अधिसूचना समाप्त होने वाले बिंदुओं से सदस्यता समाप्त करने के लिए %1 पर क्लिक करें"
"You have <b>%1</b> in your account.","आपके खाते में <b>%1</b> है।"
"Transactions History","लेनदेन इतिहास"
ID,आईडी
Comment,टिप्पणी
Points,अंक
Created,"बनाया था"
Expires,"समय-सीमा समाप्त"
"There are no Transactions.","कोई लेनदेन नहीं है।"
"Pending Transactions","लम्बित लेन - देन"
Order,क्रम
Status,स्थिति
"Your points balance will expire in %1 days.","आपके अंक की शेष राशि %1 दिनों में समाप्त हो जाएगी।"
"Visit My Reward Points Section","मेरे पुरस्कार अंक अनुभाग पर जाएं"
"Login to earn %1 for sharing!","साझा करने के लिए %1 अर्जित करने के लिए लॉगिन करें!"
"Earn %1 for sharing!","साझा करने के लिए %1 कमाएं!"
"Like this page and earn %1","इस पृष्ठ की तरह और %1 कमाएं"
Share,शेयर
"Share this page and earn %1","इस पेज को साझा करें और %1 कमाएं"
"Plus this page and earn %1","इसके अलावा इस पृष्ठ और कमाई %1"
"Pin this page and earn %1","इस पेज को पिन करें और %1 कमाएं"
"Refer Friends","दोस्तों का संदर्भ लें"
"Refer friend and earn %1. More friends more points!","मित्र का संदर्भ लें और %1 कमाएं। अधिक दोस्त अधिक अंक!"
Tweet,कलरव
"Tweet this page and earn %1","इस पेज को ट्वीट करें और %1 कमाएं"
"Check this out!","इसकी जांच करें!"
"You have <b>%1</b> available.","आपके पास <b>%1</b> उपलब्ध है।"
"Enter amount of points to spend:","खर्च करने के लिए अंक की मात्रा दर्ज करें:"
"Use maximum %1","अधिकतम %1 का उपयोग करें"
"Apply Points","अंक लागू करें"
Apply,"लागू करें"
"Cancel Points","अंक रद्द करें"
Cancel,"रद्द करना"
"Use %1","1 का उपयोग करें__"
"You Earn","आप प्राप्त करते हो"
"You Spend","आपने खर्च किया"
"Discount amount","छूट राशि"
"Use Reward Points","पुरस्कार अंक का प्रयोग करें"
"This is a required field","यह एक ज़रूरी जगह हैं"
"Subscription to Points Expiration Notification","अंक समाप्ति अधिसूचना के लिए सदस्यता"
"Earning %1","कमाई %1"
"Buy to earn %1","%1 अर्जित करने के लिए खरीदें"
"You'll earn %1 for this item","आप इस आइटम के लिए %1 कमाएंगे"
"Share with Friends","दोस्तों के साथ बांटें"
"Share the referral link in the social media and get points!","सोशल मीडिया में रेफ़रल लिंक साझा करें और अंक प्राप्त करें!"
"Tweet on Twitter","ट्विटर पर ट्वीट करें"
"Your referral link:","आपका संदर्भ लिंक:"
"Send Invitations","निमंत्रण भेजें"
"Enter contacts of your friends to invite them.","उन्हें आमंत्रित करने के लिए अपने दोस्तों के संपर्क दर्ज करें।"
Name,नाम
Message,संदेश
Referrals,रेफ़रल
"Referred by link","लिंक द्वारा संदर्भित"
"There are no Referrals","कोई रेफरल नहीं हैं"
"You have","आपके पास"
available.,उपलब्ध।
"Use maximum","अधिकतम उपयोग करें"
"Enter amount of points to spend","खर्च करने के लिए अंक की मात्रा दर्ज करें"
Use,उपयोग
"Notification Rules' messages","अधिसूचना नियम &#39;संदेश"
Template,खाका
"Notification Rule Template","अधिसूचना नियम टेम्पलेट"
"My Referrals","मेरा सिफ़ारिशें"
"Referrals List","रेफ़रल सूची"
today,आज
ago,पूर्व
"Cannot delete transaction with id %1","आईडी %1 के साथ लेनदेन को हटा नहीं सकता"
"Expires in","में समाप्त होने वाला है"
"How to earn","कैसे कमाए"
"Spend points and receive discounts","अंक खर्च करें और छूट प्राप्त करें"
"Total number of referred friends: %1","निर्दिष्ट मित्रों की कुल संख्या: %1"
"Or you may send this link in your messages to anyone","या आप इस लिंक को अपने संदेशों में किसी को भी भेज सकते हैं"
"Your Transactions","आपके लेनदेन"
"My Points","मेरे अंक"
"Share & Save","शेयर बचा"
History,इतिहास
"in %1 %2","%1 %2 में"
"in %1 days","%1 दिनों में"
"in %1 day","%1 दिन में"
"%1 %2 ago","%1 %2 पहले"
"%1 days ago","%1 दिन पहले"
"%1 day ago","__1 दिन पहले"
"How to earn points","अंक कैसे कमाएं"
"You have invited %1 friends","आपने %1 मित्रों को आमंत्रित किया है"
"Share the referral link in the social media","सोशल मीडिया में रेफ़रल लिंक साझा करें"
"You may send this link in your messages to anyone","आप इस लिंक को अपने संदेशों में किसी को भी भेज सकते हैं"
"Page not found.","पृष्ठ नहीं मिला।"
"%1 were applied.","%1 लागू किया गया था।"
"Customer tier up","ग्राहक स्तर ऊपर"
"Customer tier down","ग्राहक स्तर नीचे"
"sum of earned points","अर्जित अंक की राशि"
"sum of spent %1","व्यय की राशि %1"
"Customer does not assign to website","ग्राहक वेबसाइट पर असाइन नहीं करता है"
"Payment Method","भुगतान का तरीका"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","यह स्तर %1 ग्राहक को असाइन किया गया है। कृपया ग्राहक को अन्य स्तर पर पुन: असाइन करें।"
"You Spend Points","आप अंक खर्च करते हैं"
"Spend Amount","राशि खर्च करें"
"Spend Minimum Points","न्यूनतम अंक खर्च करें"
"Spend Maximum Points","अधिकतम अंक खर्च करें"
"Cannot delete tier with id %1","आईडी %1 के साथ स्तर को हटा नहीं सकता"
"Unable to find tier for customer ""%1"". Please check tier configuration.","ग्राहक &quot;%1&quot; के लिए स्तर खोजने में असमर्थ। कृपया स्तरीय विन्यास की जांच करें।"
"Customer Earning Style","ग्राहक कमाई शैली"
"Number of Points (X)","अंक की संख्या (एक्स)"
"Step (Y)","चरण (वाई)"
"In base currency","मूल मुद्रा में"
"Quantity Step (Z)","मात्रा चरण (जेड)"
"Maximum number of earned points for one customer per day","प्रति दिन एक ग्राहक के लिए अर्जित अंक की अधिकतम संख्या"
"Set 0 to disable limit","सीमा अक्षम करने के लिए 0 सेट करें"
"Do not change","कभी मत बदलना"
"Assign customer to Group","समूह को ग्राहक को सौंपें"
"Earn Maximum","अधिकतम कमाएं"
"You can enter amount of points or percent. Leave empty to disable.","आप अंक या प्रतिशत की मात्रा दर्ज कर सकते हैं। अक्षम करने के लिए खाली छोड़ दें।"
"Maximum Distributed Points","अधिकतम वितरित अंक"
Tiers,तीसरा
"%1 for each $%2","प्रत्येक $ %2 के लिए %1"
"All Groups","सभी समूह"
Actions,क्रिया
"Points spending style","अंक खर्च शैली"
"For each spent X points","प्रत्येक खर्च एक्स अंक के लिए"
"Number of points.","बिंदुओं की संख्या।"
"Customer receive Y discount","ग्राहक वाई छूट प्राप्त करता है"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","आप मूल मुद्रा या प्रतिशत में राशि दर्ज कर सकते हैं। उदाहरण के लिए 100 या 5%।"
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","आप अंक या प्रतिशत की मात्रा दर्ज कर सकते हैं। उदाहरण के लिए 100 या 5%। अक्षम करने के लिए खाली छोड़ दें।"
"Spend minimum","न्यूनतम खर्च करें"
"Spend maximum","अधिकतम खर्च करें"
"Minimum sum of spent %1","व्यय की न्यूनतम राशि %1"
"Minimum points number to reach the tier","स्तर तक पहुंचने के लिए न्यूनतम अंक संख्या"
"Delete the record with ID ""%1""","आईडी &quot;%1&quot; के साथ रिकॉर्ड हटाएं"
"Are you sure you wan't to delete the record with ID ""%1""?","क्या आप वाकई आईडी &quot;%1&quot; के साथ रिकॉर्ड को मिटाना नहीं चाहते हैं?"
"Anonymous visitor","बेनामी आगंतुक"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","आपका वर्तमान स्तर <a href=""#"" class=""open-popup""><b>%1 है</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","<b>%1</b> अर्जित करने के लिए प्राप्त करने के लिए <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","<b>%1</b> खर्च करने के लिए प्राप्त करने के लिए <a class=""open-popup""><b>%2</b></a>"
"in 1 day","1 दिन में"
"1 day ago","1 दिन पहले"
