"My Reward Points","Punctele mele de recompensă"
"Checkout now and earn <b>%1</b> for this order.","Verificați acum și câștigați <b>%1</b> pentru această comandă."
"Applies only to registered customers, may vary when logged in.","Se aplică doar clienților înregistrați, poate să varieze la conectare."
"Possible discount %1 %2","Posibilă reducere %1 %2"
"Earn %1 %2","Câștigă %1 %2"
Grid,Grilă
List,Listă
All,Toate
"Referral %1","Referința %1"
"Something went wrong while saving your subscription.","Sa întâmplat ceva în timp ce salvați abonamentul."
"We removed your subscription on expiring points notification.","Am eliminat abonamentul la notificarea cu puncte de expirare."
"Cannot apply points.","Nu pot aplica puncte."
"You've earned %1 for Facebook Like!","Ați câștigat %1 pentru Facebook!"
"You've earned %1 for Facebook Share!","Ați câștigat %1 pentru Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points a fost anulat"
"You've earned %1 for Google+!","Ați câștigat %1 pentru Google+!"
"G+1 Points has been canceled","Punctele G + 1 au fost anulate"
"You've earned %1 for Pin!","Ai câștigat %1 pentru Pin!"
"Invalid form key. Try again","Tasta de formă nevalidă. Încearcă din nou"
"Customer with email %1 has been already invited to our store","Clientul cu e-mail %1 a fost deja invitat la magazinul nostru"
"Your invitations were sent. Thanks!","Invitațiile dvs. au fost trimise. Mulțumiri!"
"You've earned %1 for Tweet!","Ați câștigat %1 pentru Tweet!"
"You received %1 for signing up","Ați primit %1 pentru înscriere"
"You received %1 for sending this product","Ați primit %1 pentru trimiterea acestui produs"
"You received %1 for sign up for newsletter","Ați primit %1 pentru înscrierea la newsletter"
"You received %1 for sign up for push notifications","Ați primit %1 pentru a vă înscrie pentru notificări push"
"You will receive %1 after approving of this tag","Veți primi %1 după aprobarea acestei etichete"
"You will receive %1 after approving of this review","Veți primi %1 după aprobarea acestei revizuiri"
"You received %1 for sign up of referral customer.","Ați primit %1 pentru înscrierea clientului de recomandare."
"You received %1 for order of referral customer.","Ați primit %1 pentru comanda clientului de recomandare."
"Happy birthday! You received %1.","La multi ani! Ați primit %1."
"You received %1 for joining the affiliate program.","Ați primit %1 pentru a vă alătura programului de afiliere."
"%1 were applied.","%1 a fost aplicat."
"Minimum number is %1.","Numărul minim este %1."
"Maximum number is %1.","Numărul maxim este %1."
"%1 was canceled.","%1 a fost anulat."
"Cannot apply %1.","Nu se poate aplica %1."
"You can use the following variables:","Puteți utiliza următoarele variabile:"
Pattern,Model
"Attribute Value","Valoarea atributului"
Default,"Mod implicit"
Integer,Întreg
Price,Preț
"Strip Tags","Strip Etichete"
"Primary Attributes","Atributele primare"
"Stock Attributes","Acțiuni stoc"
"Prices & Taxes","Prețuri și taxe"
Images,Imagini
"Custom Attributes","Atribute personalizate"
Mapping,Cartografierea
Category,Categorie
"Amasty Meta Tags","Amestecurile Meta Tag-uri"
"Others Attributes","Altele Atribute"
Flexible,Flexibil
Fixed,Fix
"Customer signs up in store","Clientul se înscrie în magazin"
"Customer places order","Clientul comandă locații"
"Customer refer a friend","Clientul trimite un prieten"
"Customer adds tag to a product","Clientul adaugă o etichetă unui produs"
"Customer writes a product review","Clientul scrie o recenzie a produsului"
"Customer has a birthday","Clientul are o zi de naștere"
"Customer is inactive for long time","Clientul este inactiv pentru o perioadă lungă de timp"
"Newsletter sign up","Abonează-te la știri"
"Facebook Share","Facebook Share"
"Facebook Like","Facebook ca"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ Îmi place"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Clientul se alătură programului de afiliere"
"Push Notifications sign up","Apăsați butonul Notificare"
"Referred customer signs up in store","Se semnalează semnele clienților în magazin"
"Order from referred customer","Comandă de la clientul menționat"
"Points to Currency","Puncte către valută"
"Currency to Points","Valuta pentru puncte"
"Customer Account > My Reward Points","Contul clienților&gt; Punctele mele de recompensă"
"Customer Account > My Referrals","Cont client&gt; Referințele mele"
"Cart Page",Cart
"Message Sent","Mesaj trimis"
"Signed Up",Inscris
"Made Order","Ordinul făcut"
"Visited by Referral Link","Vizitat de link-ul de recomandare"
"Subtotal + Tax","Subtotal + Impozit"
"Subtotal + Tax + Shipping","Subtotal + Tax + Transport maritim"
"Product Rule","Regulă de produs"
"Cart Rule","Regula de coș"
"Behavior Rule","Regulă de comportament"
"Transaction #%1 is expired","Tranzacția #%1 a expirat"
"Update the Product","Actualizați Produsul"
"Is Rewards Points used","Se utilizează punctele de recompense"
"Coupon Used","Cupon folosit"
"Coupon Code","Codul de cupon"
No,Nu
Yes,Da
"Conditions Combination","Condiții de combinare"
"Product attribute combination","Combinație atribut de produs"
"Products subselection","Subselecția produselor"
"Conditions combination","Combinație de condiții"
"Cart Attribute","Cart Atribute"
Customer,Client
"Last 7-days Clicks","Ultimele clicuri de 7 zile"
"Last 7-days Orders","Ultimele comenzi de 7 zile"
"Last 7-days Revenue","Ultimele venituri pe 7 zile"
"Is Referee","Este arbitrul"
"Is Referral","Este recomandarea"
Email,E-mail
Group,Grup
"Lifetime Sales","Vânzări pe durata de viață"
"Lifetime Spent Points","Puncte petrecute pe durata vieții"
"Number of Orders","Număr de ordine"
"Is subscriber of newsletter","Este abonat la newsletter"
"Number of reviews","Numărul de comentarii"
"Number of referred friends signups","Numărul de înscrieri ale prietenilor menționați"
"Number of referred friends orders","Numărul de comenzi de prieteni raportate"
"Sum of referred friends orders","Suma comenzilor de prieteni menționate"
"Number of referrals who ordered at least once","Numărul de recomandări care au ordonat cel puțin o dată"
"Not registered",Neînregistrat
"Attribute Set","Setul de atribute"
Quantity,Cantitate
"Product Type","Tip produs"
"Base Image","Imaginea de bază"
Thumbnail,Miniatură
"Small Image","Imagine mică"
"Base Image Size (bytes)","Dimensiunea imaginii de bază (octeți)"
"Thumbnail Size (bytes)","Dimensiune miniatură (octeți)"
"Small Image Size (bytes)","Dimensiune mică a imaginii (octeți)"
"PHP Condition","Starea PHP"
"Base Price","Pret de baza"
"Final Price","Pret final"
"Special Price","Pret special"
"Open Chooser","Deschide selectorul"
"Referred: Group","Referință: Grup"
"Referred: Lifetime Sales","Recomandat: Vânzări pe întreaga durată de viață"
"Referred: Number of Orders","Numar de comenzi"
"Referred: Is subscriber of newsletter","Referitor: Este abonat la newsletter"
"Referred: Number of reviews","Comentarii: Numărul de comentarii"
"Please specify a website.","Specificați un site Web."
"Please specify a customer email.","Specificați un e-mail pentru client."
"We found an invalid value in a website column.","Am găsit o valoare nevalidă într-o coloană de site web."
"Please enter a valid email.","Te rog introdu un email valid."
"Please make sure attribute ""%1"" is not empty.","Asigurați-vă că atributul &quot;%1&quot; nu este gol."
"We can't find a customer who matches this email and website code.","Nu găsim un client care să corespundă acestui e-mail și codului site-ului web."
"-- Please Select --","-- Te rog selecteaza --"
"Discount Used","Reducere folosită"
"Custom Product Attributes","Atribute ale produselor personalizate"
"- Disable these emails -","- Dezactivați aceste e-mailuri -"
"Give X points to customer","Dați puncte X clientului"
"Give X points for every spent Y","Dați puncte X pentru fiecare Y petrecut"
"Give X points for every Z quantity","Dați puncte X pentru fiecare cantitate Z"
"For every Y, give X points","Pentru fiecare Y, dați puncte X"
Pending,"In asteptarea"
Approved,Aprobat
Discarded,Șters
"You do not have permissions to create transactions. Please contact your site administrator.","Nu aveți permisiuni pentru a crea tranzacții. Contactați administratorul site-ului dvs."
"%1 has been added.","%1 a fost adăugat."
"%1 has been deducted.","%1 a fost dedus."
"You earned %1 and spent %2 for this order.","Ați câștigat %1 și ați cheltuit %2 pentru această comandă."
"You spent %1 for this order.","Ați petrecut %1 pentru această comandă."
"You earned %1 for this order.","Ați câștigat %1 pentru această comandă."
"Earned points will be enrolled to your account after we finish processing your order.","Punctele obținute vor fi înscrise în contul dvs. după terminarea procesării comenzii."
"Rewards error occurred on the server. Please try to place the order again.","Eroare de recompense a avut loc pe server. Încercați să plasați din nou comanda."
"Earn at least %1 %2","Câștigă cel puțin %1 %2"
"Reward Points","Puncte de recompensa"
Edit,"Editați | ×"
Back,Înapoi
Delete,Șterge
"Are you sure you want to do this?","Sigur vrei să faci asta?"
Reset,Restabili
"Save and Continue Edit","Salvați și continuați editarea"
Save,Salvați
"Delete the record with ID ""${ $.$data.transaction_id }""","Ștergeți înregistrarea cu ID &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Sunteți sigur că nu doriți să ștergeți înregistrarea cu ID &quot;$ {$. $ Data.transaction_id}&quot;?"
"Points Summary","Rezumatul punctelor"
"To unsubscribe from points expiring notification click %1","Pentru a vă dezabona de la punctele care expiră notificării, faceți clic pe %1"
"You have <b>%1</b> in your account.","Aveți <b>%1</b> în contul dvs."
"Transactions History","Istoria tranzacțiilor"
ID,ID-ul
Comment,Cometariu
Points,Puncte
Created,Creată
Expires,Expiră
"There are no Transactions.","Nu există tranzacții."
"Pending Transactions","Tranzacții în așteptare"
Order,Ordin
Status,Stare
"Your points balance will expire in %1 days.","Bilanțul de puncte va expira în %1 zile."
"Visit My Reward Points Section","Vizitați secțiunea Puncte de recompense"
"Login to earn %1 for sharing!","Conectați-vă pentru a câștiga %1 pentru partajare!"
"Earn %1 for sharing!","Câștigă %1 pentru partajare!"
"Like this page and earn %1","Ca și această pagină și câștigați %1"
Share,Acțiune
"Share this page and earn %1","Trimiteți această pagină și câștigați %1"
"Plus this page and earn %1","Plus această pagină și câștigi %1"
"Pin this page and earn %1","Strângeți această pagină și câștigați %1"
"Refer Friends","Trimite prietenii"
"Refer friend and earn %1. More friends more points!","Trimiteți un prieten și câștiga %1. Mai multi prieteni mai multe puncte!"
Tweet,Tweet
"Tweet this page and earn %1","Trimiteți această pagină și câștigați %1"
"Check this out!","Verifică asta!"
"You have <b>%1</b> available.","Aveți <b>%1</b> disponibil."
"Enter amount of points to spend:","Introduceți suma de puncte pe care să o cheltuiți:"
"Use maximum %1","Utilizați maximum %1"
"Apply Points","Aplicați Puncte"
Apply,Aplica
"Cancel Points","Anulați Punctele"
Cancel,Anulare
"Use %1","Foloseste 1__"
"You Earn",Castigi
"You Spend","Tu cheltuiesti"
"Discount amount","Suma de reducere"
"Use Reward Points","Utilizați Puncte de recompensă"
"This is a required field","Acest câmp este obligatoriu"
"Subscription to Points Expiration Notification","Abonamentul la notificarea de expirare a punctelor"
"Earning %1","Câștigarea %1"
"Buy to earn %1","Cumpărați pentru a câștiga %1"
"You'll earn %1 for this item","Veți câștiga %1 pentru acest element"
"Share with Friends","Impartasiti cu prietenii"
"Share the referral link in the social media and get points!","Distribuiți link-ul de recomandare în mass-media socială și obțineți puncte!"
"Tweet on Twitter","Tweet pe Twitter"
"Your referral link:","Link-ul dvs. referire:"
"Send Invitations","Trimite invitații"
"Enter contacts of your friends to invite them.","Introduceți contactele prietenilor dvs. pentru a le invita."
Name,Nume
Message,Mesaj
Referrals,Recomandări
"Referred by link","Referindu-se la link"
"There are no Referrals","Nu există nici o recomandare"
"You have","Tu ai"
available.,disponibil.
"Use maximum","Utilizați maxim"
"Enter amount of points to spend","Introduceți suma de puncte pe care să o cheltuiți"
Use,Utilizare
"Notification Rules' messages","Regulile de notificare &quot;"
Template,Format
"Notification Rule Template","Regula de șablon de notificare"
"My Referrals","Referințele mele"
"Referrals List","Lista recomandărilor"
today,astăzi
ago,"în urmă"
"Cannot delete transaction with id %1","Nu se poate șterge tranzacția cu id %1"
"Expires in","Expira in"
"How to earn","Cum să câștigi"
"Spend points and receive discounts","Petreceți puncte și beneficiați de reduceri"
"Total number of referred friends: %1","Numărul total al prietenilor referiți: %1"
"Or you may send this link in your messages to anyone","Sau puteți trimite oricând acest link în mesajele dvs."
"Your Transactions","Tranzacțiile tale"
"My Points","Punctele mele"
"Share & Save","Distribuiți și salvați"
History,Istorie
"in %1 %2","în %1 %2"
"in %1 days","în %1 zile"
"in %1 day","în ziua %1"
"%1 %2 ago","%1 %2 în urmă"
"%1 days ago","%1 zile în urmă"
"%1 day ago","%1 zi în urmă"
"How to earn points","Cum de a câștiga puncte"
"You have invited %1 friends","Ați invitat prieteni %1"
"Share the referral link in the social media","Distribuiți link-ul de recomandare în mass-media socială"
"You may send this link in your messages to anyone","Puteți trimite acest link în mesaje către oricine"
"Page not found.","Pagina nu a fost gasita."
"Customer tier up","Clientul se aliniază"
"Customer tier down","Nivelul clientului"
"sum of earned points","suma punctelor câștigate"
"sum of spent %1","suma de cheltuieli %1"
"Customer does not assign to website","Clientul nu atribuie site-ului web"
"Payment Method","Modalitate de plată"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Acest nivel este atribuit clientului %1. Vă rugăm să realocați clientul (e) la alt nivel."
"You Spend Points","Veți cheltuiți puncte"
"Spend Amount","Cheltuiți suma"
"Spend Minimum Points","Petreceți puncte minime"
"Spend Maximum Points","Petreceți puncte maxime"
"Cannot delete tier with id %1","Nu se poate șterge nivelul cu id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Nu se poate găsi nivel pentru client &quot;%1&quot;. Verificați configurația nivelului."
"Customer Earning Style","Stilul câștigător al clienților"
"Number of Points (X)","Număr de puncte (X)"
"Step (Y)","Etapa (Y)"
"In base currency","În moneda de bază"
"Quantity Step (Z)","Cantitate Pas (Z)"
"Maximum number of earned points for one customer per day","Numărul maxim de puncte câștigate pentru un client pe zi"
"Set 0 to disable limit","Setați 0 pentru a dezactiva limita"
"Do not change","Nu schimba"
"Assign customer to Group","Atribuiți clientului grupului"
"Earn Maximum","Câștigă maxim"
"You can enter amount of points or percent. Leave empty to disable.","Puteți introduce suma punctelor sau procentul. Lăsați goală pentru a dezactiva."
"Maximum Distributed Points","Puncte Distribuite Maxime"
Tiers,Treilea
"%1 for each $%2","%1 pentru fiecare $ %2"
"All Groups","Toate grupurile"
Actions,Acţiuni
"Points spending style","Puncte stil de cheltuieli"
"For each spent X points","Pentru fiecare puncte x cheltuite"
"Number of points.","Număr de puncte."
"Customer receive Y discount","Clientul primește reducere Y"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Puteți introduce suma în moneda de bază sau în procente. de exemplu 100 sau 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Puteți introduce suma punctelor sau procentul. de exemplu 100 sau 5%. Lăsați goală pentru a dezactiva."
"Spend minimum","Petreceți minim"
"Spend maximum","Petreceți maxim"
"Minimum sum of spent %1","Suma minimă a cheltuielilor %1"
"Minimum points number to reach the tier","Numărul minim de puncte pentru a ajunge la nivel"
"Delete the record with ID ""%1""","Ștergeți înregistrarea cu ID &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Sunteți sigur că nu doriți să ștergeți înregistrarea cu ID &quot;%1&quot;?"
"Anonymous visitor","Vizitator anonim"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Nivelul actual este <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Câștigă <b>%1</b> pentru a ajunge la <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Petreceți <b>%1</b> pentru a ajunge la <a class=""open-popup""><b>%2</b></a>"
"in 1 day","în 1 zi"
"1 day ago","Acum o zi"
