"My Reward Points","Мої призові пункти"
"Checkout now and earn <b>%1</b> for this order.","Оформити замовлення зараз і заробити <b>%1</b> для цього замовлення."
"Applies only to registered customers, may vary when logged in.","Застосовується тільки для зареєстрованих клієнтів, може змінюватися при вході в систему."
"Possible discount %1 %2","Можлива знижка %1 %2"
"Earn %1 %2","Заробити %1 %2"
Grid,Сітки
List,Перелік
All,Все
"Referral %1","Реферал %1"
"Something went wrong while saving your subscription.","Під час збереження підписки не вдалося щось зробити."
"We removed your subscription on expiring points notification.","Ми видалили вашу підписку на повідомлення про закінчення терміну дії пунктів."
"Cannot apply points.","Неможливо застосувати бали."
"You've earned %1 for Facebook Like!","Ви заробили %1 для Facebook Like!"
"You've earned %1 for Facebook Share!","Ви заробили %1 для Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points було скасовано"
"You've earned %1 for Google+!","Ви заробили %1 для Google+!"
"G+1 Points has been canceled","Очки G + 1 були скасовані"
"You've earned %1 for Pin!","Ви заробили %1 за Pin!"
"Invalid form key. Try again","Неправильний ключ форми. Спробуйте ще раз"
"Customer with email %1 has been already invited to our store","Замовник з електронною поштою %1 вже запрошений до нашого магазину"
"Your invitations were sent. Thanks!","Ваші запрошення були відправлені. Дякую!"
"You've earned %1 for Tweet!","Ви заробили %1 за твіт!"
"You received %1 for signing up","Ви отримали %1 для реєстрації"
"You received %1 for sending this product","Ви отримали %1 для надсилання цього продукту"
"You received %1 for sign up for newsletter","Ви отримали %1 для реєстрації на інформаційний бюлетень"
"You received %1 for sign up for push notifications","Ви отримали %1 для реєстрації для push-повідомлень"
"You will receive %1 after approving of this tag","Ви отримаєте %1 після схвалення цього тегу"
"You will receive %1 after approving of this review","Ви отримаєте %1 після схвалення цього огляду"
"You received %1 for sign up of referral customer.","Ви отримали %1 для реєстрації клієнта-рефералу."
"You received %1 for order of referral customer.","Ви отримали %1 для замовлення клієнта-рефералу."
"Happy birthday! You received %1.","З Днем народження! Ви отримали %1."
"You received %1 for joining the affiliate program.","Ви отримали %1 для приєднання до партнерської програми."
"%1 was applied.","%1 було застосовано."
"Minimum number is %1.","Мінімальна кількість %1."
"Maximum number is %1.","Максимальне число %1."
"%1 was canceled.","%1 було скасовано."
"Cannot apply %1.","Неможливо застосувати %1."
"You can use the following variables:","Ви можете використовувати наступні змінні:"
Pattern,Візерунок
"Attribute Value","Значення атрибута"
Default,"За замовчуванням"
Integer,"Ціле число"
Price,Ціна
"Strip Tags","Теги для смуги"
"Primary Attributes","Основні атрибути"
"Stock Attributes","Атрибути акцій"
"Prices & Taxes","Ціни та податки"
Images,Зображення
"Custom Attributes","Спеціальні атрибути"
Mapping,Картографування
Category,Категорія
"Amasty Meta Tags","Амасти метатегів"
"Others Attributes","Інші атрибути"
Flexible,Гнучкий
Fixed,Виправлено
"Customer signs up in store","Клієнт підписує в магазині"
"Customer places order","Клієнт розміщує замовлення"
"Customer refer a friend","Клієнт направляє друга"
"Customer adds tag to a product","Клієнт додає тег до продукту"
"Customer writes a product review","Клієнт пише огляд продукту"
"Customer has a birthday","Клієнт має день народження"
"Customer is inactive for long time","Клієнт неактивний протягом тривалого часу"
"Newsletter sign up","Підписка на розсилку"
"Facebook Share","Facebook Поділитися"
"Facebook Like","Facebook як"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ як"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Клієнт приєднується до партнерської програми"
"Push Notifications sign up","Підпишіться сповіщення про натискання"
"Referred customer signs up in store","Зазначений клієнт підписується в магазині"
"Order from referred customer","Замовлення від вказаного замовника"
"Points to Currency","Бали до валюти"
"Currency to Points","Валюта до балів"
"Customer Account > My Reward Points","Клієнтський рахунок&gt; Мої бонусні бали"
"Customer Account > My Referrals","Клієнтський рахунок&gt; Мої реферати"
"Cart Page","Сторінка кошика"
"Message Sent","Повідомлення надіслано"
"Signed Up",Підписали
"Made Order","Зроблено замовлення"
"Visited by Referral Link","Відвідав посилання Реферал"
"Subtotal + Tax","Сумарно + податок"
"Subtotal + Tax + Shipping","Сумарно + податок + доставка"
"Product Rule","Правило продукту"
"Cart Rule","Правило кошика"
"Behavior Rule","Правило поведінки"
"Transaction #%1 is expired","Термін дії транзакції #%1 закінчився"
"Update the Product","Оновіть продукт"
"Is Rewards Points used","Використовуються бали нагороди"
"Coupon Used","Купон використовується"
"Coupon Code","Код купона"
No,Немає
Yes,Так
"Conditions Combination","Умови комбінації"
"Product attribute combination","Комбінація атрибутів продукту"
"Products subselection","Підрозділ продуктів"
"Conditions combination","Поєднання умов"
"Cart Attribute","Атрибут кошика"
Customer,Замовник
"Last 7-days Clicks","Останні 7-денні клаци"
"Last 7-days Orders","Останні 7-денні замовлення"
"Last 7-days Revenue","Останні 7-денний дохід"
"Is Referee","Є суддею"
"Is Referral","Це реферал"
Email,"Електронна пошта"
Group,Група
"Lifetime Sales","Продажі протягом усього життя"
"Lifetime Spent Points","Поживні витрачені окуляри"
"Number of Orders","Кількість замовлень"
"Is subscriber of newsletter","Чи є абонент інформаційного бюлетеня"
"Number of reviews","Кількість відгуків"
"Number of referred friends signups","Кількість зареєстрованих підписів друзів"
"Number of referred friends orders","Кількість відправлених замовлень друзів"
"Sum of referred friends orders","Сума відправлених замовлень друзів"
"Number of referrals who ordered at least once","Кількість рефералів, які замовляли принаймні один раз"
"Not registered","Не зареєстрований"
"Attribute Set","Набір атрибутів"
Quantity,Кількість
"Product Type","Тип продукту"
"Base Image","Базовий образ"
Thumbnail,Ескіз
"Small Image","Маленьке зображення"
"Base Image Size (bytes)","Розмір базису зображення (байт)"
"Thumbnail Size (bytes)","Розмір ескізу (байтів)"
"Small Image Size (bytes)","Малий розмір зображення (байт)"
"PHP Condition","Стан PHP"
"Base Price","Базова ціна"
"Final Price","Остаточна ціна"
"Special Price","Особлива ціна"
"Open Chooser","Відкрити Chooser"
"Referred: Group","Сказано: група"
"Referred: Lifetime Sales","Додано: продаж протягом усього життя"
"Referred: Number of Orders","Приведені дані: кількість замовлень"
"Referred: Is subscriber of newsletter","Сказано: є абонентом інформаційного бюлетеня"
"Referred: Number of reviews","Сказано: Кількість відгуків"
"Please specify a website.","Будь-ласка, вкажіть веб-сайт."
"Please specify a customer email.","Будь-ласка, вкажіть електронну адресу клієнта."
"We found an invalid value in a website column.","Ми виявили недійсне значення в стовпці веб-сайту."
"Please enter a valid email.","Будь ласка, введіть дійсний електронний лист."
"Please make sure attribute ""%1"" is not empty.","Переконайтеся, що атрибут &quot;%1&quot; не пустий."
"We can't find a customer who matches this email and website code.","Ми не можемо знайти клієнта, який відповідає цьому електронному листу та коду веб-сайту."
"-- Please Select --","-- Виберіть будь ласка --"
"Discount Used","Знижка використовується"
"Custom Product Attributes","Спеціальні атрибути продукту"
"- Disable these emails -","- Вимкнути ці електронні листи -"
"Give X points to customer","Дайте Х точкам клієнта"
"Give X points for every spent Y","Дайте X балів за кожен витрачений Y"
"Give X points for every Z quantity","Дайте X балів за кожну кількість Z"
"For every Y, give X points","Для кожного Y задайте X точок"
Pending,"Очікує на розгляд"
Approved,Затверджено
Discarded,Відхилено
"You do not have permissions to create transactions. Please contact your site administrator.","У вас немає прав на створення транзакцій. Будь ласка, зв&#39;яжіться зі своїм адміністратором сайту."
"%1 has been added.","%1 було додано."
"%1 has been deducted.","%1 було відраховано."
"You earned %1 and spent %2 for this order.","Ви заробили %1 та витратили %2 для цього замовлення."
"You spent %1 for this order.","Ви витратили %1 для цього замовлення."
"You earned %1 for this order.","Ви заробили %1 за це замовлення."
"Earned points will be enrolled to your account after we finish processing your order.","Отримані очки будуть внесені до вашого рахунку після завершення обробки вашого замовлення."
"Rewards error occurred on the server. Please try to place the order again.","На сервері сталася помилка призу. Будь ласка, спробуйте знову зробити замовлення."
"Earn at least %1 %2","Заробіть принаймні %1 %2"
"Reward Points","Призові пункти"
Edit,Редагувати
Back,Назад
Delete,Видалити
"Are you sure you want to do this?","Ви впевнені, що хочете це зробити?"
Reset,Скинути
"Save and Continue Edit","Зберегти та продовжити редагування"
Save,Зберегти
"Delete the record with ID ""${ $.$data.transaction_id }""","Видалити запис із ідентифікатором &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Ви впевнені, що не можете видалити запис із ідентифікатором &quot;$ {$. $ Data.transaction_id}&quot;?"
"Points Summary","Оригінал балів"
"To unsubscribe from points expiring notification click %1","Щоб скасувати підписку на пункти, що закінчуються, натисніть %1"
"You have <b>%1</b> in your account.","У вас є <b>%1</b> у вашому обліковому записі."
"Transactions History","Історія операцій"
ID,Ідентифікатор
Comment,Коментар
Points,Окуляри
Created,Створено
Expires,Закінчується
"There are no Transactions.","Транзакцій немає."
"Pending Transactions","Очікувані операції"
Order,Замовлення
Status,Статус
"Your points balance will expire in %1 days.","Ваш баланс балів закінчується в %1 днях."
"Visit My Reward Points Section","Відвідайте розділ моїх призів"
"Login to earn %1 for sharing!","Увійдіть, щоб заробити %1 для обміну!"
"Earn %1 for sharing!","Заробити %1 для обміну!"
"Like this page and earn %1","Подобається ця сторінка і заробляє %1"
Share,Поділитися
"Share this page and earn %1","Поділіться цією сторінкою та заробіть %1"
"Plus this page and earn %1","Плюс ця сторінка і заробити %1"
"Pin this page and earn %1","Закріпіть цю сторінку і заробіть %1"
"Refer Friends","Зверніться до друзів"
"Refer friend and earn %1. More friends more points!","Зверніться до друга і заробіть %1. Більше друзів більше очок!"
Tweet,Чірікать
"Tweet this page and earn %1","Натисніть цю сторінку та заробіть %1"
"Check this out!",Заціни!
"You have <b>%1</b> available.","Ви маєте <b>%1</b> доступно."
"Enter amount of points to spend:","Введіть кількість витрат:"
"Use maximum %1","Використовувати максимум %1"
"Apply Points","Застосувати окуляри"
Apply,Застосувати
"Cancel Points","Скасувати бали"
Cancel,Скасувати
"Use %1","Використовуйте %1"
"You Earn","Ти заробляєш"
"You Spend","Ви витрачаєте"
"Discount amount","Сума знижки"
"Use Reward Points","Використовуйте бонусні очки"
"This is a required field","Це обов&#39;язкове поле"
"Subscription to Points Expiration Notification","Підписка на сповіщення про закінчення терміну дії балів"
"Earning %1","Заробіток %1"
"Buy to earn %1","Купуйте, щоб заробити %1"
"You'll earn %1 for this item","Ви отримаєте %1 за цей товар"
"Share with Friends","Поділися з друзями"
"Share the referral link in the social media and get points!","Поділіться посиланнями рефералів у соціальних мережах та отримайте очки!"
"Tweet on Twitter","Tweet на Twitter"
"Your referral link:","Ваша реферальна посилання:"
"Send Invitations","Надіслати запрошення"
"Enter contacts of your friends to invite them.","Введіть контакти ваших друзів, щоб запросити їх."
Name,Ім&#39;я
Message,Повідомлення
Referrals,Реферали
"Referred by link","Наведено за посиланням"
"There are no Referrals","Немає рефералів"
"You have","Ти маєш"
available.,доступний
"Use maximum","Використовувати максимум"
"Enter amount of points to spend","Введіть кількість витрат"
Use,Використовуйте
"Notification Rules' messages","Повідомлення про правила сповіщення &quot;"
Template,Шаблон
"Notification Rule Template","Шаблон правил сповіщення"
"My Referrals","Мої реферати"
"Referrals List","Перелік рефералів"
today,сьогодні
ago,"тому назад"
"Cannot delete transaction with id %1","Неможливо видалити транзакцію з ідентифікатором %1"
"Expires in","Закінчується в"
"How to earn","Як заробити"
"Spend points and receive discounts","Витрачайте очки та отримуйте знижки"
"Total number of referred friends: %1","Загальна кількість відправлених друзів: %1"
"Or you may send this link in your messages to anyone","Або ви можете надіслати цю посилання у свої повідомлення будь-кому"
"Your Transactions","Ваші операції"
"My Points","Мої очки"
"Share & Save","Поділитися і зберегти"
History,Історія
"in %1 %2","в %1 %2"
"in %1 days","в %1 дні"
"in %1 day","в %1 день"
"%1 %2 ago","%1 %2 тому"
"%1 days ago","%1 днів тому"
"%1 day ago","%1 день тому"
"How to earn points","Як заробити очки"
"You have invited %1 friends","Ви запросили %1 друзів"
"Share the referral link in the social media","Поділіться посиланнями рефералів у соціальних мережах"
"You may send this link in your messages to anyone","Ви можете надіслати цю посилання у свої повідомлення будь-кому"
"Page not found.","Сторінку не знайдено."
"%1 were applied.","%1 були застосовані."
"Customer tier up","Рівень клієнта вгору"
"Customer tier down","Рівень клієнта вниз"
"sum of earned points","сума зароблених балів"
"sum of spent %1","сума витрачених %1"
"Customer does not assign to website","Клієнт не призначає веб-сайт"
"Payment Method","Метод оплати"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Цей рівень належить %1 клієнту. Будь-ласка, перемістіть клієнтів (ів) на інший рівень."
"You Spend Points","Ви витрачаєте очки"
"Spend Amount","Витратити суму"
"Spend Minimum Points","Витратити мінімум очок"
"Spend Maximum Points","Витрачайте максимальні бали"
"Cannot delete tier with id %1","Неможливо видалити ярус ідентифікатором %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Не вдається знайти рівень для клієнта &quot;%1&quot;. Перевірте налаштування рівня."
"Customer Earning Style","Стиль заробітку клієнта"
"Number of Points (X)","Кількість балів (X)"
"Step (Y)","Крок (Y)"
"In base currency","У базовій валюті"
"Quantity Step (Z)","Кількість кроків (Z)"
"Maximum number of earned points for one customer per day","Максимальна кількість зароблених балів за одного клієнта в день"
"Set 0 to disable limit","Встановити 0, щоб вимкнути ліміт"
"Do not change","Не змінюйте"
"Assign customer to Group","Призначити клієнта групі"
"Earn Maximum","Заробіть максимум"
"You can enter amount of points or percent. Leave empty to disable.","Ви можете ввести кількість балів або відсотків. Залиште порожнім, щоб вимкнути."
"Maximum Distributed Points","Максимум розподілених точок"
Tiers,Третій
"%1 for each $%2","%1 для кожного $ %2"
"All Groups","Усі групи"
Actions,Дії
"Points spending style","Окуляри стиль витрат"
"For each spent X points","За кожен витрачений X точок"
"Number of points.","Кількість балів."
"Customer receive Y discount","Клієнт отримує Y знижку"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Ви можете ввести суму в базовій валюті або в процентах. наприклад, 100 або 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Ви можете ввести кількість балів або відсотків. наприклад, 100 або 5%. Залиште порожнім, щоб вимкнути."
"Spend minimum","Витрачати мінімум"
"Spend maximum","Витрачати максимум"
"Minimum sum of spent %1","Мінімальна сума витрачених %1"
"Minimum points number to reach the tier","Мінімальна кількість балів для досягнення рівня"
"Delete the record with ID ""%1""","Видалити запис із ідентифікатором &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Ви впевнені, що не можете видалити запис із ідентифікатором &quot;%1&quot;?"
"Anonymous visitor","Анонімний відвідувач"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Ваш поточний рівень <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Заробити <b>%1,</b> щоб дістатися до <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Витратити <b>%1,</b> щоб дістатися до <a class=""open-popup""><b>%2</b></a>"
"in 1 day","через 1 день"
"1 day ago","1 день тому"
